MaxPitDepth,Time,pH,PipeSoilPotential,SoilResistivity,WaterContentpc,BulkDensity,DissolvedChloride,Bicarbonate,SulfateConcentration,RadoxPotential,CoatingType,Class
0.81,42,7.09,?0.49,7.1,16.8,1.34,90.96,29.65,401.2,138,CTC,CL
1.19,42,6.81,?0.49,7.3,31.7,1.33,55.66,59.35,905.6,100,CTC,CL
0.41,42,7.36,?0.49,6.5,22,1.36,19.02,41.82,312.7,132,CTC,CL
7.65,42,6.22,?0.49,8.2,37.2,1.33,19.02,23.17,157.1,103,CTC,CL
1.6,42,7.52,?0.49,7.7,35.8,1.37,8.17,5.55,281.2,117,CTC,CL
10.41,22,5.08,?1.53,20.1,27.7,1.31,21.17,<1.00,25.27,149,WTC,CL
1.17,50,6.81,?0.76,41.5,24.7,1.3,11.7,91.12,550.3,72,CTC,CL
4.75,27,5.98,?0.70,51.3,29.7,1.31,146.2,104.1,59.98,41,CTC,CL
3.18,23,8.02,?0.96,46.9,25.7,1.3,117,39.05,148.5,169,WTC,CL
0.81,27,6.91,?0.85,14.6,25.1,1.27,117,65.09,43.23,89,CTC,CL
1.17,20,6.5,?0.79,21.5,25.6,1.29,204.8,78.1,227.4,69,CTC,CL
3.3,33,5.1,?0.66,20.8,25.1,1.25,14.25,5.21,69.54,151,CTC,CL
0.79,17,5.84,?0.95,56,27.7,1.32,30.44,12.93,343.3,235,WTC,CL
1.17,50,6.91,?0.77,42,24.8,1.3,21.7,91.12,385.8,75,CTC,CL
0.79,27,6.94,?0.84,13.3,24.8,1.26,<1.00,<1.00,<1.00,91,CTC,SYCL
1.57,21,7.41,?0.57,13.9,27.3,1.28,11.7,6.51,64.76,53,CTC,SYCL
2.79,33,5.3,?0.69,31.7,18.8,1.24,23.45,6.51,177.2,117,CTC,SYCL
1.78,33,5.42,?0.69,29.5,25.7,1.25,11.7,6.51,19.32,134,CTC,SYCL
1.78,33,5.04,?0.70,143.8,19.3,1.3,14.25,5.21,21.71,2.1,CTC,SYCL
1.14,33,6.24,?0.71,36.3,19.2,1.26,46.25,5.21,138.9,48,CTC,SYCL
2.36,33,4.56,?0.62,116.2,18,1.22,37.75,6.51,<1.00,260,CTC,SC
2.36,33,4.96,?0.62,169.2,17.4,1.22,30.75,6.51,9.75,255,CTC,SC
0.79,19,6.41,?0.85,7.2,34.4,1.33,351,78.1,16.92,119,CTC,SL
